SKU;ABC Class;XYZ Class;Average Unit Cost;Stock Cost;Order Cost;Total Cost;Total Ordered Units;Total Demand;Total Stockout;Stockout Rate;Alpha Service Level;Beta Service Level;Average Inventory Level;Average Daily Demand;Stock Coverage (days);Stockout Days;Total Days
FYBK70SNY;B;Y;0,64;48,08;51975,0;52023,08;66150,0;53062,5;0,0;0,0;100,0;100,0;7239,27;267,99;27,01;0;198
FYFO43CVN;B;Y;2,18;32,94;61344,27;61377,21;26300,0;26557,0;3190,0;12,01;96,97;87,99;1509,19;134,13;11,25;6;198
FYRX53VAC;C;X;3,87;29,08;12687,17;12716,25;3159,0;3230,5;78,0;2,41;99,49;97,59;709,16;16,32;43,46;1;198
FYTC24CMB;C;Z;4,22;35,39;12580,73;12616,12;2880,0;8816,0;4792,0;54,36;84,34;45,64;793,62;44,53;17,82;31;198
FYYZ87QGO;C;Z;1,13;24,34;4704,91;4729,25;3670,0;5395,0;23,0;0,43;99,49;99,57;2008,65;27,25;73,72;1;198
FZDI18YRS;C;X;0,48;9,26;6308,69;6317,95;10080,0;10815,0;1050,0;9,71;97,47;90,29;1842,98;54,62;33,74;5;198
FZFM65NZY;B;X;2,46;33,33;78781,97;78815,3;30240,0;31326,0;5508,0;17,58;93,43;82,42;1381,7;158,21;8,73;13;198
FZFP28ORB;A;Y;0,47;112,96;110947,81;111060,77;178200,0;157650,0;0,0;0,0;100,0;100,0;22826,77;796,21;28,67;0;198
FZFT11JIE;B;X;3,78;60,92;83008,0;83068,92;21120,0;18480,0;200,0;1,08;99,49;98,92;1577,73;93,33;16,9;1;198
FZQA53CSD;B;X;0,95;16,68;37836,89;37853,57;34536,0;33132,0;636,0;1,92;98,99;98,08;1789,7;167,33;10,7;2;198
FZRY85XVB;C;Z;1,41;13,35;7494,47;7507,82;4800,0;6324,0;120,0;1,9;99,49;98,1;903,03;31,94;28,27;1;198
GABV28SGD;C;Y;9,21;82,77;7807,24;7890,01;833,86;552,5;0,0;0,0;100,0;100,0;830,89;2,79;297,77;0;198
GAPR24AZR;C;X;5,1;31,55;15882,62;15914,17;3024,0;3810,0;84,0;2,2;99,49;97,8;588,79;19,24;30,6;1;198
GAYA56QOJ;B;X;14,17;263,31;646056,4;646319,7;45115,0;36575,0;0,0;0,0;100,0;100,0;1897,42;184,72;10,27;0;198
GBUJ30ALH;A;Z;1,54;52,16;322468,34;322520,5;190944,0;438192,0;234336,0;53,48;70,71;46,52;4153,94;2213,09;1,88;58;198
GBZA17RMO;C;Y;1,23;9,06;27476,52;27485,58;19968,0;12088,0;288,0;2,38;99,49;97,62;741,09;61,05;12,14;1;198
GCRL34DDH;B;X;5,14;103,35;174687,25;174790,59;33024,0;31242,0;1284,0;4,11;97,98;95,89;2004,67;157,79;12,7;4;198
GDAE31BUB;C;Z;3,2;14,15;1932,12;1946,28;576,0;717,0;0,0;0,0;100,0;100,0;410,73;3,62;113,42;0;198
GDRE49GXM;A;X;1,88;77,69;226506,23;226583,92;111384,0;100709,0;12984,0;12,89;94,44;87,11;4244,67;508,63;8,35;11;198
GEIL72FVU;C;Y;3,25;2,74;2287,23;2289,97;672,0;600,0;24,0;4,0;98,99;96,0;80,48;3,03;26,56;2;198
GFCT11LNU;A;X;1,38;83,56;100503,22;100586,78;65605,0;56001,5;0,0;0,0;100,0;100,0;5856,21;282,84;20,71;0;198
GFWW34KWZ;C;Z;11,8;50,49;31608,52;31659,01;2646,0;1680,0;0,0;0,0;100,0;100,0;403,03;8,48;47,5;0;198
GGJA06NJO;A;Z;4,82;349,9;267224,28;267574,17;53760,0;48225,0;60,0;0,12;99,49;99,88;6933,33;243,56;28,47;1;198
GGMR12HFZ;C;;5,59;7,83;4821,22;4829,05;840,0;1204,0;0,0;0,0;100,0;100,0;135,19;6,08;22,23;0;198
GGSN89NEX;C;Z;2,28;33,28;36462,4;36495,68;14976,0;16692,0;3800,0;22,77;93,94;77,23;1407,88;84,3;16,7;12;198
GGTF06DQX;A;X;0,34;76,56;504678,18;504754,74;1024400,0;706400,0;19600,0;2,77;97,47;97,23;24061,41;3567,68;6,74;5;198
GGWG82ODD;A;Y;1,61;57,84;175900,97;175958,81;99792,0;142031,0;74294,0;52,31;83,33;47,69;3648,0;717,33;5,09;33;198
GHAD79ZCZ;C;Y;2,79;5,88;7027,1;7032,98;2390,0;2300,0;370,0;16,09;96,46;83,91;203,89;11,62;17,55;7;198
GHUL20KUB;B;X;2,98;47,52;67087,28;67134,79;21450,0;21115,0;1560,0;7,39;97,47;92,61;1569,65;106,64;14,72;5;198
GJWK81AYE;C;Y;3,07;4,41;2434,27;2438,68;756,0;595,0;294,0;49,41;97,47;50,59;134,03;3,01;44,6;5;198
GJXM03XNW;C;Y;2,79;34,02;31307,35;31341,38;10648,0;7298,5;1408,0;19,29;97,98;80,71;1153,61;36,86;31,3;4;198
GKQG13XVE;B;X;0,5;26,79;37543,08;37569,87;58080,0;48427,5;0,0;0,0;100,0;100,0;5219,44;244,58;21,34;0;198
GLEB26ZIF;B;Z;2,08;28,75;65998,42;66027,17;29568,0;74647,0;41562,0;55,68;73,23;44,32;1439,64;377,01;3,82;53;198
GLRA46ELA;C;Y;11,36;9,36;21131,83;21141,19;1836,0;2190,0;336,0;15,34;91,92;84,66;85,27;11,06;7,71;16;198
GMBJ97XQQ;A;X;2,74;525,42;925334,66;925860,08;320544,0;296559,0;7938,0;2,68;98,99;97,32;19153,36;1497,77;12,79;2;198
GMJG11AQC;C;Z;30,55;113,22;51082,49;51195,71;1664,0;2744,0;320,0;11,66;98,99;88,34;353,86;13,86;25,53;2;198
GMKV80KLC;C;Z;10,14;7,58;3334,89;3342,47;324,0;234,0;0,0;0,0;100,0;100,0;70,06;1,18;59,28;0;198
GNHM00PCE;B;Y;1,42;36,08;49641,43;49677,51;31590,0;26245,5;0,0;0,0;100,0;100,0;2472,35;132,55;18,65;0;198
GNPV74IUC;C;Z;2,58;15,76;20920,08;20935,83;7668,0;6240,0;1128,0;18,08;97,47;81,92;589,09;31,52;18,69;5;198
GOJD85HYI;C;Z;4,25;26,34;22351,79;22378,13;5082,0;7266,0;510,0;7,02;97,47;92,98;605,58;36,7;16,5;5;198
GOLT05OEY;B;X;4,22;87,26;159355,94;159443,21;36480,0;32528,0;5304,0;16,31;88,89;83,69;2044,2;164,28;12,44;22;198
GPKK85RER;C;Z;3,89;71,81;5661,06;5732,87;1400,0;3695,0;0,0;0,0;100,0;100,0;1718,48;18,66;92,09;0;198
GQWT95LLK;B;X;5,47;47,89;112407,07;112454,96;19992,0;16893,0;16,0;0,09;99,49;99,91;891,78;85,32;10,45;1;198
GREQ59HTG;A;X;0,45;16,59;43282,66;43299,25;72225,0;79731,5;200,0;0,25;98,99;99,75;3805,18;402,68;9,45;2;198
GROT79YWF;B;Z;2,91;77,95;123476,32;123554,28;40320,0;39816,0;12,0;0,03;99,49;99,97;2668,12;201,09;13,27;1;198
GRUM26KMW;C;X;2,79;44,47;47984,22;48028,7;16320,0;13419,0;0,0;0,0;100,0;100,0;1536,94;67,77;22,68;0;198
GRUW68GNK;B;Z;1,5;79,15;0,0;79,15;0,0;12225,0;300,0;2,45;99,49;97,55;4937,88;61,74;79,98;1;198
GSLX00NDE;C;Y;5,18;18,06;6819,56;6837,61;1280,0;1470,0;0,0;0,0;100,0;100,0;328,84;7,42;44,29;0;198
GSPG11FMG;C;X;3,72;15,58;10614,43;10630,01;2740,0;1620,0;60,0;3,7;98,48;96,3;393,43;8,18;48,09;3;198
GSWH65QOX;C;X;2,98;54,6;16213,54;16268,14;5184,0;9201,0;42,0;0,46;98,99;99,54;1736,42;46,47;37,37;2;198
GTMS54WYS;C;Y;3,49;36,78;29480,03;29516,81;8100,0;10068,0;0,0;0,0;100,0;100,0;1022,24;50,85;20,1;0;198
GTVF20BNT;C;Z;5,85;14,74;9425,06;9439,8;1572,0;1878,0;510,0;27,16;96,97;72,84;239,3;9,48;25,23;6;198
GULI61IDJ;B;Y;3,59;54,82;90880,25;90935,08;24300,0;23976,0;0,0;0,0;100,0;100,0;1528,73;121,09;12,62;0;198
GUSZ71BXE;B;Z;2,3;15,96;66521,78;66537,74;27144,0;68408,0;39728,0;58,08;61,62;41,92;784,2;345,49;2,27;76;198
GUYI09INC;C;Z;2,96;52,84;29813,33;29866,17;9600,0;6030,0;770,0;12,77;99,49;87,23;1674,34;30,45;54,98;1;198
GVFL45RLZ;C;Y;2,87;11,32;2174,3;2185,62;720,0;1960,0;280,0;14,29;98,99;85,71;372,02;9,9;37,58;2;198
GVMB23LHG;C;Y;3,39;103,65;12632,8;12736,46;3564,0;2172,0;0,0;0,0;100,0;100,0;2825,39;10,97;257,56;0;198
GVSE28KAF;C;Z;6,56;1379,29;0,0;1379,29;0,0;89041,5;0,0;0,0;100,0;100,0;19823,45;449,7;44,08;0;198
GWFP82SET;C;Z;9,18;1560,65;0,0;1560,65;0,0;38395,0;687,1092;1,79;98,99;98,21;15853,61;193,91;81,76;2;198
GXGR12NOL;B;Y;2,71;22,7;28861,41;28884,11;10080,0;9156,0;144,0;1,57;98,99;98,43;816,67;46,24;17,66;2;198
GXLZ95BIB;C;Z;3,25;1,94;3586,46;3588,4;1056,0;1536,0;616,0;40,1;89,9;59,9;59,64;7,76;7,69;20;198
GXUY27OKX;A;Z;1,52;142,42;241966,05;242108,48;145152,0;126240,0;4320,0;3,42;96,97;96,58;9269,33;637,58;14,54;6;198
GYVJ53YTT;A;X;0,44;71,85;59444,44;59516,3;100000,0;77075,0;0,0;0,0;100,0;100,0;15290,91;389,27;39,28;0;198
HAGM08JED;C;Y;4,1;53,6;84204,25;84257,85;19800,0;20274,0;6,0;0,03;99,49;99,97;1306,64;102,39;12,76;1;198
HBMN83BWO;B;X;3,42;190,36;221489,53;221679,89;62080,0;51351,0;360,0;0,7;98,48;99,3;5391,16;259,35;20,79;3;198
HBRR20NFA;B;X;2,79;80,66;140941,21;141021,88;47992,0;38395,0;0,0;0,0;100,0;100,0;2861,87;193,91;14,76;0;198
HBRU63IHL;B;X;2,25;50,03;108908,24;108958,26;45414,0;34857,5;0,0;0,0;100,0;100,0;2227,09;176,05;12,65;0;198
HCAY34CLI;C;Y;3,57;3,82;4287,09;4290,9;1152,0;1156,0;184,0;15,92;96,46;84,08;103,47;5,84;17,72;7;198
HCCJ85WIT;C;Z;1,71;13,87;1355,78;1369,65;728,0;1456,0;0,0;0,0;100,0;100,0;753,95;7,35;102,53;0;198
HCXC23JBK;C;X;2,25;2,01;2214,35;2216,36;924,0;708,0;12,0;1,69;99,49;98,31;85,94;3,58;24,03;1;198
HDIJ21OEK;C;Z;2,05;17,43;46900,13;46917,56;21304,0;12104,0;16,0;0,13;99,49;99,87;844,28;61,13;13,81;1;198
HEAC11CHX;C;X;4,82;26,23;7150,47;7176,7;1440,0;2112,0;0,0;0,0;100,0;100,0;512,77;10,67;48,07;0;198
HEBX11TNP;C;Y;6,98;40,34;0,0;40,34;0,0;1608,0;0,0;0,0;100,0;100,0;540,91;8,12;66,6;0;198
HEDE46UIT;C;Z;4,16;37,3;43407,52;43444,82;10072,0;10846,0;1944,0;17,92;93,43;82,08;871,49;54,78;15,91;13;198
HFSA48UZA;B;Y;2,13;16,7;39376,18;39392,88;17288,0;37548,0;21716,0;57,84;74,24;42,16;803,27;189,64;4,24;51;198
HGHK36SLL;C;Y;5,07;13,53;7019,7;7033,23;1344,0;1353,0;72,0;5,32;98,48;94,68;252,24;6,83;36,91;3;198
HGZW01FRJ;B;Z;2,4;16,9;94628,54;94645,45;37088,0;87540,0;55764,0;63,7;60,1;36,3;809,29;442,12;1,83;79;198
HHBY01SXC;A;Y;0,78;125,28;316292,18;316417,46;338580,0;424950,0;3780,0;0,89;98,99;99,11;16852,12;2146,21;7,85;2;198
HHQH93YHL;C;X;2,79;36,28;32107,09;32143,37;10920,0;9560,0;70,0;0,73;99,49;99,27;1246,46;48,28;25,82;1;198
HHSY05IZY;B;Y;1,19;17,42;12382,9;12400,32;9240,0;10736,0;0,0;0,0;100,0;100,0;1403,25;54,22;25,88;0;198
HIIL72RNZ;C;Y;2,06;1,39;0,0;1,39;0,0;384,0;0,0;0,0;100,0;100,0;64,0;1,94;33,0;0;198
HISJ17RBJ;B;Y;1,35;23,32;23694,5;23717,82;15840,0;19515,0;3120,0;15,99;95,96;84,01;1679,85;98,56;17,04;8;198
HJJD34BIQ;C;Z;4,48;22,19;23129,31;23151,5;5000,0;8128,0;3992,0;49,11;95,96;50,89;477,86;41,05;11,64;8;198
HJRP94FDS;C;Z;1,6;61,99;40724,73;40786,72;23328,0;21420,0;216,0;1,01;99,49;98,99;3687,45;108,18;34,09;1;198
HKRQ19UIS;C;X;2,01;9,06;22368,57;22377,64;10368,0;8892,0;120,0;1,35;98,48;98,65;460,48;44,91;10,25;3;198
HKTX36JNH;B;Y;1,71;82,54;99045,13;99127,67;53280,0;48474,0;0,0;0,0;100,0;100,0;4696,48;244,82;19,18;0;198
HKUV42OZV;A;X;0,62;42,04;82638,23;82680,27;106992,0;108432,0;11376,0;10,49;93,94;89,51;6716,0;547,64;12,26;12;198
HLAH20ISI;B;X;4,85;66,25;156730,5;156796,75;31320,0;23876,0;0,0;0,0;100,0;100,0;1378,55;120,59;11,43;0;198
HLDZ44QZN;C;Z;4,85;18,24;9968,3;9986,54;1992,0;1672,0;648,0;38,76;95,96;61,24;351,6;8,44;41,64;8;198
HLUD48LVM;C;Y;3,45;29,56;51459,38;51488,94;14310,0;11292,5;0,0;0,0;100,0;100,0;847,8;57,03;14,87;0;198
HLYY07FTD;A;X;0,98;105,7;251097,53;251203,23;222432,0;171058,0;6438,0;3,76;98,48;96,24;10784,1;863,93;12,48;3;198
HMKR20JJT;B;X;1,47;44,96;98192,14;98237,09;60544,0;46831,0;0,0;0,0;100,0;100,0;3052,04;236,52;12,9;0;198
HMQV92SHD;C;X;7,19;45,16;73957,47;74002,62;10080,0;11576,0;416,0;3,59;97,98;96,41;635,47;58,46;10,87;4;198
HNBP43ZMJ;B;Y;3,59;9,44;0,0;9,44;0,0;5298,0;24,0;0,45;99,49;99,55;269,09;26,76;10,06;1;198
HNMO99LMZ;C;Z;6,78;50,05;26615,12;26665,18;3840,0;12088,0;6624,0;54,8;84,85;45,2;707,92;61,05;11,6;30;198
HODW59JKZ;C;Z;2,4;16,44;29036,77;29053,22;11368,0;11543,0;2450,0;21,22;98,99;78,78;676,24;58,3;11,6;2;198
HOUN33UQR;C;Z;3,7;13,94;12185,07;12199,0;3168,0;8968,0;7240,0;80,73;87,88;19,27;356,24;45,29;7,87;24;198
HPDG47ERF;C;X;2,65;10,55;13576,1;13586,64;4848,0;3940,0;0,0;0,0;100,0;100,0;386,75;19,9;19,44;0;198
HPJZ75ZKX;C;Z;4,31;17,38;15166,06;15183,44;3400,0;6310,0;2450,0;38,83;95,96;61,17;391,06;31,87;12,27;8;198
HQCP63KVF;C;Z;7,78;0,67;3329,67;3330,34;420,0;608,0;278,0;45,72;99,49;54,28;9,6;3,07;3,12;1;198
HQEV03LEY;B;Y;2,2;20,45;17754,88;17775,33;7560,0;8330,0;399,0;4,79;97,98;95,21;897,2;42,07;21,33;4;198
HQMJ53GFK;A;Z;0,56;49,36;226988,79;227038,15;321360,0;254760,0;19860,0;7,8;95,96;92,2;9363,64;1286,67;7,28;8;198
HRMD73WFT;C;Y;6,24;1,2;0,0;1,2;0,0;336,0;216,0;64,29;91,92;35,71;18,36;1,7;10,82;16;198
HROP48UPV;C;Z;9,08;10,93;16547,18;16558,11;1792,0;1836,0;344,0;18,74;95,45;81,26;118,48;9,27;12,78;9;198
HRVO22SVX;B;Z;4,41;179,58;153549,0;153728,58;33660,0;17028,0;855,0;5,02;96,97;94,98;3833,55;86,0;44,58;6;198
HSET43YAZ;C;Y;4,72;8,86;19087,18;19096,04;3920,0;2828,0;20,0;0,71;98,99;99,29;187,21;14,28;13,11;2;198
HSFI70LCX;C;Z;0,74;4,84;3848,0;3852,84;4320,0;6480,0;1980,0;30,56;96,46;69,44;624,55;32,73;19,08;7;198
HSOG84USO;C;X;3,67;27,32;38359,22;38386,54;10044,0;7782,0;0,0;0,0;100,0;100,0;725,68;39,3;18,46;0;198
HTOA76TVA;C;Y;1,71;22,84;31543,15;31565,99;17000,0;18420,0;0,0;0,0;100,0;100,0;1327,17;93,03;14,27;0;198
HTOY37YRT;C;X;1,04;1,69;1029,85;1031,54;864,0;798,0;0,0;0,0;100,0;100,0;153,7;4,03;38,14;0;198
HTRF26XLO;B;Y;5,55;28,2;35425,1;35453,31;6216,95;31024,5;26738,3024;86,18;66,16;13,82;490,21;156,69;3,13;67;198
HUDS58NYR;C;Y;2,85;26,85;40392,0;40418,85;13464,0;13617,0;0,0;0,0;100,0;100,0;937,09;68,77;13,63;0;198
HUEC81NSQ;C;Z;2,95;0,05;0,0;0,05;0,0;8,0;0,0;0,0;100,0;100,0;1,49;0,04;37,0;0;198
HURR77KQR;C;Y;2,99;33,19;61429,42;61462,61;19586,0;15022,0;0,0;0,0;100,0;100,0;1100,2;75,87;14,5;0;198
HVBK11FDL;C;Z;1,39;10,91;3988,8;3999,71;2592,0;3432,0;48,0;1,4;99,49;98,6;741,09;17,33;42,76;1;198
HVFK79WMU;C;Z;1,14;0,86;4179,49;4180,35;3240,0;14106,0;9423,0;66,8;83,33;33,2;93,17;71,24;1,31;33;198
HVLG50BVG;C;Y;4,01;18,17;21152,34;21170,51;5088,0;4420,0;0,0;0,0;100,0;100,0;440,36;22,32;19,73;0;198
HVRL62TUS;C;X;6,42;40,34;56745,86;56786,2;8640,0;8940,0;384,0;4,3;98,48;95,7;622,51;45,15;13,79;3;198
HVZD21LSP;B;X;8,9;121,1;255349,87;255470,97;28224,0;21609,0;371,0;1,72;98,99;98,28;1361,78;109,14;12,48;2;198
HXEC39WBV;A;X;0,3;189,23;434229,55;434418,77;958500,0;813384,0;0,0;0,0;100,0;100,0;61664,91;4108,0;15,01;0;198
HXFM18BTQ;C;X;1,25;8,52;11841,97;11850,49;8448,0;8118,0;0,0;0,0;100,0;100,0;668,12;41,0;16,3;0;198
HXGG96DOT;B;Y;2,75;12,53;29771,69;29784,22;10260,0;28855,0;19600,0;67,93;77,78;32,07;466,46;145,73;3,2;44;198
HXLO55PYA;C;Y;3,31;4,45;622,1;626,55;180,0;156,0;0,0;0,0;100,0;100,0;124,85;0,79;158,46;0;198
HXQS07UZO;A;X;4,76;410,02;647937,76;648347,78;132094,65;158769,0;13581,4791;8,55;94,44;91,45;8680,98;801,86;10,83;11;198
HYLX99XNX;B;X;4,1;249,55;120613,36;120862,92;28410,0;24600,0;0,0;0,0;100,0;100,0;5740,68;124,24;46,21;0;198
HYRL60UZX;B;Z;4,13;27,17;39527,05;39554,22;9240,0;8712,0;2544,0;29,2;94,95;70,8;637,82;44,0;14,5;10;198
HYTA90QBX;C;X;2,05;14,26;19813,24;19827,5;9000,0;7350,0;1260,0;17,14;95,45;82,86;671,46;37,12;18,09;9;198
HYYE50BCF;C;Y;2,83;11,72;11263,6;11275,32;3780,0;3224,0;196,0;6,08;97,47;93,92;397,11;16,28;24,39;5;198
HYYT98EPJ;C;Y;5,47;42,44;64170,36;64212,79;11424,0;11220,0;0,0;0,0;100,0;100,0;772,09;56,67;13,63;0;198
HZBL04PBW;C;Y;3,55;28,84;57989,45;58018,29;15660,0;12705,0;925,0;7,28;96,97;92,72;807,63;64,17;12,59;6;198
HZED98HYB;B;Y;5,07;265,29;272143,24;272408,53;52182,53;42385,270000000004;3040,0;7,17;97,47;92,83;5026,16;214,07;23,48;5;198
HZQO09WWV;C;Z;12,78;78,7;59592,1;59670,8;4608,0;2368,0;32,0;1,35;99,49;98,65;579,31;11,96;48,44;1;198
IAAB15LKG;A;X;1,05;456,79;1416190,68;1416647,47;1177200,0;1049355,0;0,0;0,0;100,0;100,0;45283,18;5299,77;8,54;0;198
IAME04NHZ;C;Z;1,57;1,06;3128,52;3129,59;1816,0;6150,5;4726,5;76,85;59,09;23,15;69,39;31,06;2,23;81;198
IAVE29ZKQ;C;Y;2,2;29,89;17247,6;17277,49;7344,0;7092,0;1062,0;14,97;95,96;85,03;1283,73;35,82;35,84;8;198
IAYK72OCS;C;Z;9,18;14,91;15389,34;15404,24;1650,0;1496,0;11,0;0,74;99,49;99,26;157,22;7,56;20,81;1;198
IAZX92GXT;A;X;3,02;179,49;395892,91;396072,4;124780,0;96670,0;0,0;0,0;100,0;100,0;5961,46;488,23;12,21;0;198
ICIQ56AHA;B;X;1,79;37,5;71228,58;71266,09;36638,0;28945,0;350,0;1,21;98,99;98,79;2071,15;146,19;14,17;2;198
ICQZ39GIQ;A;X;1,08;105,83;201313,47;201419,3;163200,0;154350,0;7300,0;4,73;97,98;95,27;9745,45;779,55;12,5;4;198
IDDF10IJZ;C;;4,92;0,0;0,0;0,0;0,0;1,0;1,0;100,0;99,49;0,0;0,0;0,01;0,0;1;198
IDGU54RVY;B;Y;1,38;62,52;57650,13;57712,66;37632,0;31518,0;0,0;0,0;100,0;100,0;4329,21;159,18;27,2;0;198
IDIW64NXE;A;X;0,39;31,92;153323,97;153355,9;283896,0;274140,0;22248,0;8,12;95,45;91,88;8814,91;1384,55;6,37;9;198
IDLE63NLZ;B;Z;1,51;54,6;37872,29;37926,89;22848,0;19542,0;0,0;0,0;100,0;100,0;3436,85;98,7;34,82;0;198
IDNJ93PNO;C;Z;7,71;5,9;5284,09;5290,0;672,0;556,0;44,0;7,91;98,48;92,09;73,13;2,81;26,04;3;198
IDUM15XHR;B;Y;1,32;56,15;88744,73;88800,88;60528,0;66352,0;2364,0;3,56;97,98;96,44;4255,36;335,11;12,7;4;198
IEXW92LIG;C;Z;4,85;13,01;6305,25;6318,26;1260,0;760,0;0,0;0,0;100,0;100,0;250,81;3,84;65,34;0;198
IEZW96UJQ;C;Y;10,83;38,2;48321,54;48359,74;4400,0;4030,0;180,0;4,47;98,48;95,53;344,49;20,35;16,93;3;198
IFAF73ACY;C;Z;2,75;3,39;2456,13;2459,51;848,0;1128,0;488,0;43,26;91,41;56,74;116,89;5,7;20,52;17;198
IFMM15HOG;B;X;4,85;68,36;97440,0;97508,36;19488,0;18394,0;0,0;0,0;100,0;100,0;1392,08;92,9;14,98;0;198
IFUM81APG;B;X;3,95;523,31;291224,56;291747,88;71100,0;65400,0;0,0;0,0;100,0;100,0;12554,04;330,3;38,01;0;198
IGCV54DRQ;C;;35,45;62,02;12934,9;12996,92;363,3;745,0;535,0;71,81;98,99;28,19;162,31;3,76;43,14;2;198
IGDB16PMV;A;X;3,57;279,67;310991,44;311271,12;83496,0;66940,0;1106,0;1,65;98,99;98,35;7543,81;338,08;22,31;2;198
IGDR16QDJ;A;X;0,65;57,17;129231,97;129289,13;160654,0;142389,0;572,0;0,4;99,49;99,6;8767,91;719,14;12,19;1;198
IGNZ10AFU;B;Y;3,87;70,18;102814,65;102884,83;25600,0;25880,0;1104,0;4,27;96,97;95,73;1798,22;130,71;13,76;6;198
IHER07ULN;A;X;0,97;97,56;356203,29;356300,84;318060,0;304737,5;48649,0;15,96;92,93;84,04;10564,09;1539,08;6,86;14;198
IHWW65EJN;C;Z;1,55;8,55;1958,36;1966,9;1152,0;16825,0;12350,0;73,4;86,87;26,6;530,81;84,97;6,25;26;198
IIOQ29FXC;B;Y;1,71;88,72;116995,4;117084,12;63054,0;93215,0;26862,0;28,82;92,93;71,18;5129,76;470,78;10,9;14;198
IIVY41ZQT;C;Y;0,33;0,34;0,0;0,34;0,0;1470,0;0,0;0,0;100,0;100,0;101,36;7,42;13,65;0;198
IIWK53ARM;C;Z;1,46;0,0;0,0;0,0;0,0;576,0;576,0;100,0;98,99;0,0;0,0;2,91;0,0;2;198
IJDE32TFF;C;Z;18,04;118,77;109998,57;110117,34;6048,0;2376,0;56,0;2,36;99,49;97,64;618,63;12,0;51,55;1;198
IJHW44CLJ;C;Z;4,26;3,25;423,11;426,36;96,0;40,0;0,0;0,0;100,0;100,0;70,67;0,2;349,8;0;198
IJJV67YIT;C;X;3,62;19,82;11817,53;11837,34;3138,0;3252,0;456,0;14,02;96,97;85,98;519,24;16,42;31,61;6;198
IJVO28CYP;A;X;0,74;102,89;189450,0;189552,89;213000,0;169025,0;0,0;0,0;100,0;100,0;13679,42;853,66;16,02;0;198
IKCX64IZL;C;Z;2,83;17,02;15018,13;15035,15;5040,0;6429,0;774,0;12,04;96,97;87,96;583,03;32,47;17,96;6;198
IKWF51IYN;C;Y;2,58;23,23;9641,08;9664,32;3528,0;5442,5;0,0;0,0;100,0;100,0;856,55;27,49;31,16;0;198
ILCV57TKU;C;X;3,42;22,89;18623,96;18646,85;5220,0;4860,0;0,0;0,0;100,0;100,0;641,82;24,55;26,15;0;198
ILSB97ANL;C;Z;2,3;20,92;13410,23;13431,15;5472,0;4914,0;0,0;0,0;100,0;100,0;862,97;24,82;34,77;0;198
IMAA79NMX;A;Y;1,22;327,88;100953,39;101281,27;73440,0;86857,0;0,0;0,0;100,0;100,0;25116,12;438,67;57,25;0;198
IMKD58PCC;C;Z;5,03;39,97;20507,96;20547,93;3960,0;6904,0;3800,0;55,04;95,96;44,96;748,32;34,87;21,46;8;198
IMWD26LTG;B;X;1,07;14,24;33112,8;33127,04;27216,0;22146,0;240,0;1,08;99,49;98,92;1341,45;111,85;11,99;1;198
INFH77ZPC;B;Y;3,47;63,0;81213,6;81276,6;22464,0;22520,0;240,0;1,07;98,48;98,93;1788,36;113,74;15,72;3;198
INOC35AVI;C;Z;5,67;24,49;38821,18;38845,67;6666,0;5433,0;62,0;1,14;98,99;98,86;424,95;27,44;15,49;2;198
INXF14GAZ;C;Y;4,72;10,81;0,0;10,81;0,0;928,0;0,0;0,0;100,0;100,0;216,0;4,69;46,09;0;198
IOJD33BIL;C;X;2,44;26,1;12442,45;12468,55;4800,0;5170,0;0,0;0,0;100,0;100,0;1011,06;26,11;38,72;0;198
IOJN59NCJ;C;Y;2,96;31,03;15931,5;15962,53;5130,0;6390,0;0,0;0,0;100,0;100,0;999,9;32,27;30,98;0;198
IONK85EBI;C;Z;2,68;40,16;65352,31;65392,47;23100,0;29700,0;6930,0;23,33;91,92;76,67;1496,62;150,0;9,98;16;198
IOUT43PTU;B;X;3,19;47,45;84269,55;84317,0;25200,0;17514,0;0,0;0,0;100,0;100,0;1457,76;88,45;16,48;0;198
IPRI75HMR;B;Y;2,22;103,36;140667,8;140771,16;59472,0;67754,0;0,0;0,0;100,0;100,0;4642,61;342,19;13,57;0;198
IPSC35CXR;B;X;2,08;44,06;56425,6;56469,66;25344,0;20223,0;0,0;0,0;100,0;100,0;2058,02;102,14;20,15;0;198
IPSX84OJB;C;Z;6,38;6,14;43853,96;43860,09;6720,0;2266,0;260,0;11,47;97,47;88,53;98,85;11,44;8,64;5;198
IPYX96FNK;C;X;4,3;6,67;4983,18;4989,85;1120,0;1048,0;0,0;0,0;100,0;100,0;148,2;5,29;28,0;0;198
IQAL30OWP;C;Z;2,93;21,69;21315,39;21337,08;6912,0;11072,0;4592,0;41,47;87,37;58,53;714,18;55,92;12,77;25;198
IQYF35ALA;C;Z;3,96;2,57;20378,76;20381,33;4960,0;1992,0;272,0;13,65;97,47;86,35;68,44;10,06;6,8;5;198
IRBD66LMK;C;Y;1,98;1,37;2180,56;2181,93;1024,0;2344,0;1280,0;54,61;86,36;45,39;69,25;11,84;5,85;27;198
IRGW30AKZ;C;Y;3,68;5,65;1714,74;1720,4;448,0;792,0;300,0;37,88;95,45;62,12;144,16;4,0;36,04;9;198
IRPP40BNN;C;X;4,99;23,95;11848,66;11872,61;2304,0;2644,0;0,0;0,0;100,0;100,0;455,6;13,35;34,12;0;198
